RowIndex;rawValue;byteValue;signedValue
0;6;6;6
1;7;7;7
2;6;6;6
3;7;7;7
4;7;7;7
5;8;8;8
6;8;8;8
7;8;8;8
8;9;9;9
9;10;10;10
10;11;11;11
11;12;12;12
12;12;12;12
13;13;13;13
14;13;13;13
15;13;13;13
16;14;14;14
17;15;15;15
18;15;15;15
19;16;16;16
20;16;16;16
21;17;17;17
22;18;18;18
23;18;18;18
24;18;18;18
25;20;20;20
26;20;20;20
27;20;20;20
28;21;21;21
29;21;21;21
30;21;21;21
31;22;22;22
32;23;23;23
33;23;23;23
34;24;24;24
35;24;24;24
36;25;25;25
37;25;25;25
38;25;25;25
39;26;26;26
40;26;26;26
41;27;27;27
42;28;28;28
43;27;27;27
44;28;28;28
45;28;28;28
46;29;29;29
47;30;30;30
48;30;30;30
49;30;30;30
50;30;30;30
51;31;31;31
52;31;31;31
53;32;32;32
54;32;32;32
55;32;32;32
56;33;33;33
57;34;34;34
58;34;34;34
59;34;34;34
60;34;34;34
61;34;34;34
62;35;35;35
63;35;35;35
64;36;36;36
65;36;36;36
66;36;36;36
67;36;36;36
68;37;37;37
69;38;38;38
70;37;37;37
71;38;38;38
72;38;38;38
73;39;39;39
74;38;38;38
75;39;39;39
76;39;39;39
77;39;39;39
78;39;39;39
79;40;40;40
80;39;39;39
81;40;40;40
82;40;40;40
83;40;40;40
84;40;40;40
85;41;41;41
86;41;41;41
87;42;42;42
88;41;41;41
89;41;41;41
90;41;41;41
91;42;42;42
92;42;42;42
93;43;43;43
94;42;42;42
95;42;42;42
96;43;43;43
97;42;42;42
98;42;42;42
99;42;42;42
100;42;42;42
101;42;42;42
102;42;42;42
103;43;43;43
104;42;42;42
105;42;42;42
106;42;42;42
107;43;43;43
108;42;42;42
109;42;42;42
110;42;42;42
111;42;42;42
112;42;42;42
113;42;42;42
114;42;42;42
115;42;42;42
116;42;42;42
117;42;42;42
118;41;41;41
119;41;41;41
120;42;42;42
121;42;42;42
122;41;41;41
123;41;41;41
124;41;41;41
125;41;41;41
126;41;41;41
127;40;40;40
128;40;40;40
129;40;40;40
130;40;40;40
131;40;40;40
132;40;40;40
133;40;40;40
134;40;40;40
135;39;39;39
136;39;39;39
137;39;39;39
138;38;38;38
139;37;37;37
140;38;38;38
141;37;37;37
142;37;37;37
143;37;37;37
144;37;37;37
145;36;36;36
146;36;36;36
147;36;36;36
148;36;36;36
149;35;35;35
150;35;35;35
151;35;35;35
152;35;35;35
153;34;34;34
154;34;34;34
155;33;33;33
156;32;32;32
157;32;32;32
158;32;32;32
159;32;32;32
160;31;31;31
161;31;31;31
162;31;31;31
163;30;30;30
164;30;30;30
165;29;29;29
166;29;29;29
167;29;29;29
168;29;29;29
169;28;28;28
170;27;27;27
171;26;26;26
172;26;26;26
173;26;26;26
174;25;25;25
175;25;25;25
176;25;25;25
177;24;24;24
178;24;24;24
179;22;22;22
180;23;23;23
181;22;22;22
182;21;21;21
183;21;21;21
184;20;20;20
185;20;20;20
186;20;20;20
187;20;20;20
188;19;19;19
189;18;18;18
190;18;18;18
191;17;17;17
192;17;17;17
193;16;16;16
194;15;15;15
195;16;16;16
196;14;14;14
197;13;13;13
198;13;13;13
199;12;12;12
200;12;12;12
201;11;11;11
202;11;11;11
203;11;11;11
204;10;10;10
205;9;9;9
206;8;8;8
207;8;8;8
208;7;7;7
209;7;7;7
210;6;6;6
211;5;5;5
212;6;6;6
213;5;5;5
214;5;5;5
215;4;4;4
216;2;2;2
217;2;2;2
218;1;1;1
219;0;0;0
220;0;0;0
221;0;0;0
222;0;0;0
223;255;255;-1
224;253;253;-3
225;253;253;-3
226;253;253;-3
227;252;252;-4
228;251;251;-5
229;251;251;-5
230;250;250;-6
231;250;250;-6
232;249;249;-7
233;248;248;-8
234;248;248;-8
235;247;247;-9
236;246;246;-10
237;246;246;-10
238;245;245;-11
239;244;244;-12
240;244;244;-12
241;244;244;-12
242;244;244;-12
243;242;242;-14
244;242;242;-14
245;242;242;-14
246;241;241;-15
247;240;240;-16
248;239;239;-17
249;238;238;-18
250;238;238;-18
251;238;238;-18
252;237;237;-19
253;236;236;-20
254;235;235;-21
255;235;235;-21
256;234;234;-22
257;234;234;-22
258;233;233;-23
259;232;232;-24
260;232;232;-24
261;232;232;-24
262;230;230;-26
263;230;230;-26
264;230;230;-26
265;229;229;-27
266;228;228;-28
267;228;228;-28
268;228;228;-28
269;228;228;-28
270;227;227;-29
271;226;226;-30
272;225;225;-31
273;224;224;-32
274;224;224;-32
275;224;224;-32
276;223;223;-33
277;223;223;-33
278;221;221;-35
279;222;222;-34
280;222;222;-34
281;221;221;-35
282;220;220;-36
283;219;219;-37
284;219;219;-37
285;219;219;-37
286;218;218;-38
287;218;218;-38
288;218;218;-38
289;216;216;-40
290;216;216;-40
291;216;216;-40
292;215;215;-41
293;215;215;-41
294;214;214;-42
295;214;214;-42
296;214;214;-42
297;214;214;-42
298;213;213;-43
299;213;213;-43
300;213;213;-43
301;212;212;-44
302;212;212;-44
303;211;211;-45
304;211;211;-45
305;211;211;-45
306;210;210;-46
307;210;210;-46
308;209;209;-47
309;209;209;-47
310;208;208;-48
311;209;209;-47
312;208;208;-48
313;208;208;-48
314;208;208;-48
315;208;208;-48
316;207;207;-49
317;206;206;-50
318;206;206;-50
319;205;205;-51
320;206;206;-50
321;206;206;-50
322;205;205;-51
323;204;204;-52
324;205;205;-51
325;204;204;-52
326;204;204;-52
327;204;204;-52
328;203;203;-53
329;203;203;-53
330;203;203;-53
331;203;203;-53
332;203;203;-53
333;202;202;-54
334;203;203;-53
335;203;203;-53
336;202;202;-54
337;202;202;-54
338;201;201;-55
339;202;202;-54
340;201;201;-55
341;202;202;-54
342;201;201;-55
343;201;201;-55
344;201;201;-55
345;201;201;-55
346;201;201;-55
347;202;202;-54
348;201;201;-55
349;201;201;-55
350;201;201;-55
351;201;201;-55
352;201;201;-55
353;201;201;-55
354;201;201;-55
355;201;201;-55
356;200;200;-56
357;201;201;-55
358;201;201;-55
359;201;201;-55
360;201;201;-55
361;201;201;-55
362;200;200;-56
363;200;200;-56
364;201;201;-55
365;201;201;-55
366;201;201;-55
367;202;202;-54
368;201;201;-55
369;200;200;-56
370;201;201;-55
371;202;202;-54
372;201;201;-55
373;202;202;-54
374;202;202;-54
375;202;202;-54
376;202;202;-54
377;203;203;-53
378;202;202;-54
379;203;203;-53
380;203;203;-53
381;204;204;-52
382;203;203;-53
383;203;203;-53
384;204;204;-52
385;204;204;-52
386;204;204;-52
387;204;204;-52
388;204;204;-52
389;204;204;-52
390;205;205;-51
391;205;205;-51
392;206;206;-50
393;206;206;-50
394;206;206;-50
395;206;206;-50
396;207;207;-49
397;208;208;-48
398;207;207;-49
399;208;208;-48
400;208;208;-48
401;208;208;-48
402;208;208;-48
403;208;208;-48
404;209;209;-47
405;209;209;-47
406;210;210;-46
407;211;211;-45
408;211;211;-45
409;211;211;-45
410;211;211;-45
411;211;211;-45
412;212;212;-44
413;213;213;-43
414;213;213;-43
415;213;213;-43
416;213;213;-43
417;214;214;-42
418;215;215;-41
419;215;215;-41
420;216;216;-40
421;216;216;-40
422;216;216;-40
423;217;217;-39
424;217;217;-39
425;218;218;-38
426;218;218;-38
427;218;218;-38
428;219;219;-37
429;220;220;-36
430;220;220;-36
431;220;220;-36
432;221;221;-35
433;222;222;-34
434;223;223;-33
435;223;223;-33
436;223;223;-33
437;223;223;-33
438;224;224;-32
439;225;225;-31
440;225;225;-31
441;226;226;-30
442;226;226;-30
443;227;227;-29
444;228;228;-28
445;228;228;-28
446;229;229;-27
447;230;230;-26
448;229;229;-27
449;230;230;-26
450;231;231;-25
451;231;231;-25
452;232;232;-24
453;233;233;-23
454;233;233;-23
455;234;234;-22
456;234;234;-22
457;235;235;-21
458;235;235;-21
459;236;236;-20
460;237;237;-19
461;237;237;-19
462;238;238;-18
463;239;239;-17
464;240;240;-16
465;240;240;-16
466;241;241;-15
467;241;241;-15
468;242;242;-14
469;243;243;-13
470;243;243;-13
471;243;243;-13
472;244;244;-12
473;244;244;-12
474;245;245;-11
475;246;246;-10
476;246;246;-10
477;248;248;-8
478;248;248;-8
479;249;249;-7
480;249;249;-7
481;250;250;-6
482;250;250;-6
483;250;250;-6
484;251;251;-5
485;252;252;-4
486;252;252;-4
487;254;254;-2
488;254;254;-2
489;255;255;-1
490;255;255;-1
491;255;255;-1
492;1;1;1
493;0;0;0
494;1;1;1
495;2;2;2
496;2;2;2
497;3;3;3
498;4;4;4
499;5;5;5
500;5;5;5
501;5;5;5
502;6;6;6
503;7;7;7
504;7;7;7
505;8;8;8
506;8;8;8
507;10;10;10
508;10;10;10
509;10;10;10
510;11;11;11
511;12;12;12
512;12;12;12
513;12;12;12
514;13;13;13
515;13;13;13
516;14;14;14
517;15;15;15
518;15;15;15
519;16;16;16
520;17;17;17
521;17;17;17
522;17;17;17
523;18;18;18
524;19;19;19
525;19;19;19
526;19;19;19
527;20;20;20
528;21;21;21
529;21;21;21
530;21;21;21
531;22;22;22
532;23;23;23
533;23;23;23
534;23;23;23
535;24;24;24
536;25;25;25
537;25;25;25
538;25;25;25
539;26;26;26
540;26;26;26
541;28;28;28
542;27;27;27
543;28;28;28
544;28;28;28
545;29;29;29
546;29;29;29
547;29;29;29
548;29;29;29
549;30;30;30
550;31;31;31
551;31;31;31
552;31;31;31
553;31;31;31
554;32;32;32
555;33;33;33
556;33;33;33
557;34;34;34
558;33;33;33
559;34;34;34
560;35;35;35
561;35;35;35
562;35;35;35
563;36;36;36
564;36;36;36
565;36;36;36
566;37;37;37
567;36;36;36
568;37;37;37
569;37;37;37
570;37;37;37
571;37;37;37
572;38;38;38
573;38;38;38
574;38;38;38
575;39;39;39
576;40;40;40
577;39;39;39
578;39;39;39
579;39;39;39
580;39;39;39
581;40;40;40
582;40;40;40
583;40;40;40
584;41;41;41
585;41;41;41
586;41;41;41
587;41;41;41
588;41;41;41
589;41;41;41
590;41;41;41
591;42;42;42
592;41;41;41
593;42;42;42
594;42;42;42
595;42;42;42
596;42;42;42
597;41;41;41
598;42;42;42
599;42;42;42
600;42;42;42
601;42;42;42
602;43;43;43
603;42;42;42
604;42;42;42
605;42;42;42
606;42;42;42
607;42;42;42
608;42;42;42
609;43;43;43
610;42;42;42
611;42;42;42
612;42;42;42
613;43;43;43
614;42;42;42
615;42;42;42
616;42;42;42
617;42;42;42
618;42;42;42
619;41;41;41
620;43;43;43
621;42;42;42
622;41;41;41
623;41;41;41
624;41;41;41
625;41;41;41
626;40;40;40
627;40;40;40
628;40;40;40
629;40;40;40
630;40;40;40
631;40;40;40
632;40;40;40
633;39;39;39
634;40;40;40
635;39;39;39
636;39;39;39
637;39;39;39
638;39;39;39
639;38;38;38
640;38;38;38
641;37;37;37
642;37;37;37
643;37;37;37
644;37;37;37
645;37;37;37
646;36;36;36
647;36;36;36
648;35;35;35
649;35;35;35
650;35;35;35
651;35;35;35
652;34;34;34
653;34;34;34
654;34;34;34
655;33;33;33
656;33;33;33
657;33;33;33
658;32;32;32
659;32;32;32
660;32;32;32
661;31;31;31
662;30;30;30
663;30;30;30
664;30;30;30
665;29;29;29
666;29;29;29
667;28;28;28
668;28;28;28
669;28;28;28
670;27;27;27
671;27;27;27
672;27;27;27
673;26;26;26
674;25;25;25
675;25;25;25
676;24;24;24
677;24;24;24
678;24;24;24
679;23;23;23
680;22;22;22
681;22;22;22
682;22;22;22
683;21;21;21
684;20;20;20
685;20;20;20
686;20;20;20
687;19;19;19
688;19;19;19
689;18;18;18
690;17;17;17
691;17;17;17
692;16;16;16
693;16;16;16
694;15;15;15
695;15;15;15
696;14;14;14
697;13;13;13
698;13;13;13
699;12;12;12
700;12;12;12
701;12;12;12
702;11;11;11
703;11;11;11
704;10;10;10
705;10;10;10
706;8;8;8
707;8;8;8
708;8;8;8
709;7;7;7
710;7;7;7
711;5;5;5
712;5;5;5
713;5;5;5
714;4;4;4
715;3;3;3
716;2;2;2
717;2;2;2
718;1;1;1
719;1;1;1
720;1;1;1
721;0;0;0
722;255;255;-1
723;255;255;-1
724;254;254;-2
725;253;253;-3
726;253;253;-3
727;252;252;-4
728;251;251;-5
729;250;250;-6
730;250;250;-6
731;249;249;-7
732;249;249;-7
733;248;248;-8
734;248;248;-8
735;247;247;-9
736;247;247;-9
737;245;245;-11
738;245;245;-11
739;244;244;-12
740;244;244;-12
741;243;243;-13
742;243;243;-13
743;242;242;-14
744;243;243;-13
745;241;241;-15
746;240;240;-16
747;240;240;-16
748;239;239;-17
749;238;238;-18
750;238;238;-18
751;237;237;-19
752;237;237;-19
753;236;236;-20
754;235;235;-21
755;235;235;-21
756;234;234;-22
757;233;233;-23
758;233;233;-23
759;232;232;-24
760;232;232;-24
761;231;231;-25
762;230;230;-26
763;230;230;-26
764;229;229;-27
765;228;228;-28
766;228;228;-28
767;228;228;-28
768;227;227;-29
769;227;227;-29
770;227;227;-29
771;225;225;-31
772;225;225;-31
773;224;224;-32
774;224;224;-32
775;224;224;-32
776;223;223;-33
777;222;222;-34
778;222;222;-34
779;221;221;-35
780;221;221;-35
781;220;220;-36
782;220;220;-36
783;220;220;-36
784;220;220;-36
785;218;218;-38
786;217;217;-39
787;218;218;-38
788;217;217;-39
789;217;217;-39
790;217;217;-39
791;216;216;-40
792;215;215;-41
793;215;215;-41
794;214;214;-42
795;214;214;-42
796;213;213;-43
797;213;213;-43
798;213;213;-43
799;213;213;-43
800;212;212;-44
801;211;211;-45
802;212;212;-44
803;212;212;-44
804;211;211;-45
805;210;210;-46
806;209;209;-47
807;210;210;-46
808;210;210;-46
809;209;209;-47
810;208;208;-48
811;209;209;-47
812;208;208;-48
813;208;208;-48
814;207;207;-49
815;207;207;-49
816;207;207;-49
817;206;206;-50
818;206;206;-50
819;206;206;-50
820;206;206;-50
821;205;205;-51
822;205;205;-51
823;205;205;-51
824;205;205;-51
825;204;204;-52
826;204;204;-52
827;204;204;-52
828;204;204;-52
829;203;203;-53
830;203;203;-53
831;203;203;-53
832;203;203;-53
833;202;202;-54
834;202;202;-54
835;202;202;-54
836;202;202;-54
837;202;202;-54
838;202;202;-54
839;202;202;-54
840;202;202;-54
841;201;201;-55
842;201;201;-55
843;201;201;-55
844;201;201;-55
845;201;201;-55
846;200;200;-56
847;201;201;-55
848;201;201;-55
849;200;200;-56
850;201;201;-55
851;201;201;-55
852;201;201;-55
853;201;201;-55
854;200;200;-56
855;201;201;-55
856;201;201;-55
857;200;200;-56
858;200;200;-56
859;200;200;-56
860;200;200;-56
861;200;200;-56
862;201;201;-55
863;200;200;-56
864;201;201;-55
865;200;200;-56
866;201;201;-55
867;201;201;-55
868;200;200;-56
869;201;201;-55
870;201;201;-55
871;202;202;-54
872;202;202;-54
873;202;202;-54
874;202;202;-54
875;202;202;-54
876;202;202;-54
877;202;202;-54
878;202;202;-54
879;202;202;-54
880;203;203;-53
881;203;203;-53
882;203;203;-53
883;203;203;-53
884;204;204;-52
885;204;204;-52
886;204;204;-52
887;204;204;-52
888;204;204;-52
889;205;205;-51
890;205;205;-51
891;205;205;-51
892;205;205;-51
893;206;206;-50
894;205;205;-51
895;206;206;-50
896;207;207;-49
897;206;206;-50
898;207;207;-49
899;208;208;-48
900;207;207;-49
901;208;208;-48
902;208;208;-48
903;209;209;-47
904;209;209;-47
905;209;209;-47
906;210;210;-46
907;210;210;-46
908;210;210;-46
909;211;211;-45
910;211;211;-45
911;211;211;-45
912;212;212;-44
913;212;212;-44
914;213;213;-43
915;212;212;-44
916;214;214;-42
917;214;214;-42
918;215;215;-41
919;214;214;-42
920;215;215;-41
921;215;215;-41
922;216;216;-40
923;216;216;-40
924;217;217;-39
925;217;217;-39
926;218;218;-38
927;219;219;-37
928;219;219;-37
929;219;219;-37
930;220;220;-36
931;220;220;-36
932;221;221;-35
933;221;221;-35
934;222;222;-34
935;222;222;-34
936;223;223;-33
937;224;224;-32
938;224;224;-32
939;225;225;-31
940;225;225;-31
941;226;226;-30
942;226;226;-30
943;227;227;-29
944;227;227;-29
945;228;228;-28
946;229;229;-27
947;229;229;-27
948;229;229;-27
949;230;230;-26
950;231;231;-25
951;231;231;-25
952;231;231;-25
953;233;233;-23
954;233;233;-23
955;234;234;-22
956;234;234;-22
957;235;235;-21
958;235;235;-21
959;236;236;-20
960;236;236;-20
961;237;237;-19
962;238;238;-18
963;238;238;-18
964;239;239;-17
965;240;240;-16
966;240;240;-16
967;240;240;-16
968;242;242;-14
969;242;242;-14
970;242;242;-14
971;243;243;-13
972;243;243;-13
973;244;244;-12
974;245;245;-11
975;246;246;-10
976;247;247;-9
977;248;248;-8
978;247;247;-9
979;248;248;-8
980;248;248;-8
981;249;249;-7
982;250;250;-6
983;250;250;-6
984;252;252;-4
985;251;251;-5
986;252;252;-4
987;253;253;-3
988;254;254;-2
989;254;254;-2
990;255;255;-1
991;0;0;0
992;0;0;0
993;1;1;1
994;1;1;1
995;2;2;2
996;2;2;2
997;2;2;2
998;3;3;3
999;4;4;4
1000;5;5;5
1001;5;5;5
1002;6;6;6
1003;7;7;7
1004;8;8;8
1005;8;8;8
1006;8;8;8
1007;9;9;9
1008;10;10;10
1009;10;10;10
1010;10;10;10
1011;11;11;11
1012;12;12;12
1013;12;12;12
1014;13;13;13
1015;14;14;14
1016;14;14;14
1017;14;14;14
1018;15;15;15
1019;15;15;15
1020;17;17;17
1021;17;17;17
1022;17;17;17
1023;18;18;18
1024;17;17;17
1025;19;19;19
1026;19;19;19
1027;20;20;20
1028;20;20;20
1029;21;21;21
1030;21;21;21
1031;22;22;22
1032;22;22;22
1033;24;24;24
1034;23;23;23
1035;24;24;24
1036;25;25;25
1037;25;25;25
1038;25;25;25
1039;26;26;26
1040;26;26;26
1041;26;26;26
1042;27;27;27
1043;27;27;27
1044;28;28;28
1045;28;28;28
1046;29;29;29
1047;29;29;29
1048;30;30;30
1049;30;30;30
1050;30;30;30
1051;31;31;31
1052;31;31;31
1053;32;32;32
1054;32;32;32
1055;32;32;32
1056;33;33;33
1057;33;33;33
1058;33;33;33
1059;34;34;34
1060;34;34;34
1061;34;34;34
1062;36;36;36
1063;35;35;35
1064;36;36;36
1065;36;36;36
1066;36;36;36
1067;36;36;36
1068;37;37;37
1069;37;37;37
1070;36;36;36
1071;38;38;38
1072;37;37;37
1073;38;38;38
1074;38;38;38
1075;38;38;38
1076;39;39;39
1077;39;39;39
1078;39;39;39
1079;39;39;39
1080;40;40;40
1081;40;40;40
1082;39;39;39
1083;40;40;40
1084;40;40;40
1085;41;41;41
1086;41;41;41
1087;40;40;40
1088;40;40;40
1089;40;40;40
1090;41;41;41
1091;41;41;41
1092;42;42;42
1093;42;42;42
1094;42;42;42
1095;42;42;42
1096;42;42;42
1097;42;42;42
1098;42;42;42
1099;41;41;41
1100;43;43;43
1101;43;43;43
1102;43;43;43
1103;42;42;42
1104;42;42;42
1105;42;42;42
1106;42;42;42
1107;42;42;42
1108;43;43;43
1109;43;43;43
1110;42;42;42
1111;42;42;42
1112;42;42;42
1113;42;42;42
1114;42;42;42
1115;42;42;42
1116;41;41;41
1117;41;41;41
1118;42;42;42
1119;42;42;42
1120;41;41;41
1121;40;40;40
1122;41;41;41
1123;41;41;41
1124;40;40;40
1125;41;41;41
1126;40;40;40
1127;40;40;40
1128;40;40;40
1129;40;40;40
1130;40;40;40
1131;40;40;40
1132;40;40;40
1133;40;40;40
1134;39;39;39
1135;39;39;39
1136;39;39;39
1137;38;38;38
1138;38;38;38
1139;38;38;38
1140;38;38;38
1141;38;38;38
1142;37;37;37
1143;37;37;37
1144;37;37;37
1145;37;37;37
1146;36;36;36
1147;35;35;35
1148;36;36;36
1149;36;36;36
1150;35;35;35
1151;35;35;35
1152;34;34;34
1153;33;33;33
1154;33;33;33
1155;33;33;33
1156;32;32;32
1157;33;33;33
1158;32;32;32
1159;32;32;32
1160;31;31;31
1161;30;30;30
1162;31;31;31
1163;30;30;30
1164;30;30;30
1165;29;29;29
1166;29;29;29
1167;28;28;28
1168;28;28;28
1169;27;27;27
1170;27;27;27
1171;27;27;27
1172;26;26;26
